Duration,Quality,Size_KB,Fits_Target,Note
5.0,2,4699,NO,TOO_LARGE
5.0,3,3821,NO,TOO_LARGE
5.0,4,3252,NO,TOO_LARGE
5.0,5,2889,YES,GOOD_FIT
5.0,6,2577,YES,MODERATE_FIT
5.5,2,5187,NO,TOO_LARGE
5.5,3,4219,NO,TOO_LARGE
5.5,4,3590,NO,TOO_LARGE
5.5,5,3191,YES,AGGRESSIVE_FIT
5.5,6,2846,YES,GOOD_FIT
5.5,7,2579,YES,MODERATE_FIT
6.0,2,5674,NO,TOO_LARGE
6.0,3,4616,NO,TOO_LARGE
6.0,4,3928,NO,TOO_LARGE
6.0,5,3491,NO,TOO_LARGE
6.0,6,3114,YES,AGGRESSIVE_FIT
6.0,7,2822,YES,GOOD_FIT
6.0,8,2551,YES,MODERATE_FIT
6.5,2,6152,NO,TOO_LARGE
6.5,3,5005,NO,TOO_LARGE
6.5,4,4260,NO,TOO_LARGE
6.5,5,3787,NO,TOO_LARGE
6.5,6,3378,NO,TOO_LARGE
6.5,7,3061,YES,AGGRESSIVE_FIT
6.5,8,2768,YES,MODERATE_FIT
7.0,2,6621,NO,TOO_LARGE
7.0,3,5388,NO,TOO_LARGE
7.0,4,4586,NO,TOO_LARGE
7.0,5,4077,NO,TOO_LARGE
7.0,6,3638,NO,TOO_LARGE
7.0,7,3297,NO,TOO_LARGE
7.0,8,2981,YES,GOOD_FIT
7.0,9,2776,YES,MODERATE_FIT
7.5,2,7085,NO,TOO_LARGE
7.5,3,5768,NO,TOO_LARGE
7.5,4,4911,NO,TOO_LARGE
7.5,5,4367,NO,TOO_LARGE
7.5,6,3897,NO,TOO_LARGE
7.5,7,3533,NO,TOO_LARGE
7.5,8,3195,YES,AGGRESSIVE_FIT
7.5,9,2975,YES,GOOD_FIT
7.5,10,2761,YES,MODERATE_FIT
8.0,2,7543,NO,TOO_LARGE
8.0,3,6143,NO,TOO_LARGE
8.0,4,5231,NO,TOO_LARGE
8.0,5,4653,NO,TOO_LARGE
8.0,6,4153,NO,TOO_LARGE
8.0,7,3765,NO,TOO_LARGE
8.0,8,3406,NO,TOO_LARGE
8.0,9,3171,YES,AGGRESSIVE_FIT
8.0,10,2944,YES,GOOD_FIT
8.0,11,2741,YES,MODERATE_FIT
